Prevalence-Rate,0-5-Male,0-5-Female,5-14-Male,5-14-Female,15-39-Male,15-39-Female,40-44-Male,40-44-Female,45-49-Male,45-49-Male,50-54-Male,50-54-Female,55-59-Male,55-59-Female,60-64-Male,60-64-Female,65-69-Male,65-69-Female,70-74-Male,70-74-Female,75-84-Male,75-84-Female,85-89-Male,85-89-Female,90-94-Male,90-94-Female,95+-Male,95+-Female
Year,Male,Female,Male ,Female,Male,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
2009,9.08 13.90 5.12,13.07 19.86 7.49,63.78 97.74 40.13,102.58 151.06 67.57,178.44 240.06 133.31,200.98 270.73 149.85,236.52 304.81 185.00,240.42 307.38 187.68,243.15 315.65 191.12,246.20 310.13 194.48,246.99 318.14 195.03,249.33 317.13 196.31,247.98 322.94 195.10,250.19 318.46 196.59,246.60 318.76 194.76,249.26 320.84 200.33,240.54 307.19 189.14,243.32 313.47 192.36,229.61 293.83 180.31,232.11 295.84 183.80,210.10 269.51 161.26,209.84 266.40 159.22,180.69 238.28 128.58,173.18 228.67 121.84,158.98 214.47 107.60,145.42 203.32 95.76,130.82 185.71 82.07,108.21 162.85 63.50
2010,9.13 14.00 5.15,13.15 19.94 7.54,64.09 98.42 40.37,103.02 151.93 67.84,179.16 240.72 133.93,201.52 271.73 150.36,237.74 306.17 186.01,241.30 308.27 188.12,244.39 317.17 192.21,247.21 311.16 194.63,248.42 319.32 195.93,250.47 318.13 196.81,249.89 325.00 196.93,251.44 320.22 197.69,248.41 320.32 196.58,250.43 321.89 200.79,241.57 308.27 190.61,244.46 315.02 193.30,230.48 294.88 182.08,233.37 297.03 184.58,211.01 270.63 162.39,211.33 267.53 160.46,182.16 240.59 129.88,174.57 229.81 122.78,160.13 215.92 108.39,146.25 203.96 96.30,131.86 187.10 83.27,109.03 163.67 64.20
2011,9.30 14.17 5.25,13.32 20.21 7.65,65.12 99.34 40.92,103.92 152.84 68.54,179.15 239.18 133.52,201.71 271.96 150.28,237.24 306.48 185.64,241.67 309.21 188.35,243.84 315.85 191.72,247.70 312.22 195.20,248.02 318.69 195.81,251.07 318.21 197.72,250.08 322.20 197.11,252.31 320.97 198.12,248.47 318.45 196.66,251.10 322.77 201.41,240.93 307.73 190.67,245.15 316.68 193.65,229.65 292.10 180.99,234.17 298.79 185.54,210.23 269.41 161.98,212.16 268.89 160.97,181.74 238.96 129.75,175.23 230.77 123.99,159.52 214.80 108.21,146.16 204.14 96.43,131.01 185.97 82.65,108.62 163.17 64.01
2012,9.65 14.62 5.45,13.62 20.66 7.86,67.17 102.09 42.16,105.42 154.84 69.59,178.54 237.09 132.97,201.75 272.15 150.29,234.90 302.74 183.69,241.70 309.74 188.93,241.42 311.14 189.67,247.82 312.90 195.19,245.65 315.22 194.23,251.30 317.64 198.23,248.02 318.00 195.95,252.80 321.43 198.64,246.44 314.87 195.08,251.54 323.27 201.68,238.85 305.32 189.06,245.64 316.58 194.01,227.45 288.64 178.81,234.56 299.84 185.84,208.05 266.77 159.62,212.33 269.62 161.04,179.72 235.27 128.39,175.30 231.21 123.86,157.62 212.98 106.91,145.50 203.62 95.49,128.86 182.73 80.90,107.31 161.52 62.98
2013,10.08 15.19 5.70,13.95 21.16 8.08,69.66 105.67 43.72,107.10 157.04 70.85,177.74 236.81 132.76,201.73 271.91 150.26,231.87 298.66 181.27,241.54 309.61 189.20,238.29 305.56 186.96,247.73 313.30 195.00,242.49 310.29 192.10,251.30 316.80 198.30,244.98 312.79 194.17,253.05 321.50 199.49,243.60 309.25 192.68,251.88 323.61 201.77,236.31 303.03 187.03,245.94 316.15 194.02,224.94 285.69 176.45,234.68 300.43 186.02,205.61 263.76 157.40,212.15 270.20 160.92,177.32 231.67 126.76,175.28 231.58 123.38,155.45 210.52 105.35,145.04 203.33 94.59,126.59 179.20 79.22,106.13 159.96 62.09
2014,10.48 15.80 5.93,14.25 21.58 8.26,72.04 109.15 45.19,108.50 158.54 72.31,177.19 237.37 132.88,201.77 271.82 150.25,229.25 295.64 179.30,241.36 309.30 189.49,235.59 300.87 184.59,247.60 313.50 194.85,239.73 305.76 190.09,251.24 316.46 198.19,242.26 308.55 192.48,253.18 321.12 199.79,241.17 305.97 190.99,252.18 323.91 201.96,234.39 300.35 185.32,246.15 315.46 194.30,223.19 283.22 175.49,234.70 300.43 186.02,203.94 260.77 156.28,211.92 269.81 160.81,175.71 229.39 125.84,175.55 232.15 123.57,154.00 208.90 104.35,145.31 203.71 94.75,125.43 177.13 78.42,105.76 159.24 61.97
2015,10.76 16.27 6.10,14.46 21.87 8.37,73.71 111.26 46.15,109.16 159.22 72.97,177.30 238.53 133.49,201.96 272.43 150.40,228.16 295.51 178.34,241.30 308.93 190.12,234.46 298.40 184.09,247.55 313.67 195.16,238.57 304.14 188.77,251.26 316.01 198.52,241.14 306.81 192.02,253.34 320.30 200.32,240.37 305.65 190.41,252.50 324.35 203.07,234.18 300.83 185.63,246.37 314.40 195.03,223.26 283.10 176.29,234.77 300.25 186.52,203.94 259.61 156.07,211.87 269.74 160.86,175.79 229.26 126.36,176.23 233.10 125.03,154.00 208.90 104.24,146.47 205.19 96.11,125.70 177.54 78.77,106.51 159.70 62.86
2016,10.97 16.62 6.20,14.63 22.08 8.47,74.86 113.09 46.83,109.22 159.89 72.90,179.35 240.54 134.96,202.72 274.04 151.07,230.70 298.38 180.61,242.62 310.97 190.96,237.10 301.53 185.84,249.03 314.76 196.35,241.27 306.78 191.00,252.85 317.03 200.13,244.05 310.24 194.43,255.02 323.04 201.49,243.76 309.96 193.15,254.48 325.96 204.66,237.72 304.39 188.34,248.08 316.08 197.11,227.00 287.97 179.21,236.51 300.83 188.56,207.56 265.03 158.99,213.66 271.81 162.30,179.54 233.82 129.25,178.65 235.95 126.65,157.68 212.79 107.08,149.33 209.16 98.12,129.38 181.66 81.29,109.08 163.41 64.44
2017,11.16 16.90 6.32,14.81 22.32 8.58,75.95 115.09 47.42,109.13 160.42 72.72,183.27 244.97 137.88,204.04 276.16 152.67,236.48 305.78 185.08,245.46 314.87 192.63,243.17 309.21 190.78,252.20 318.16 198.84,247.52 314.71 195.75,256.18 320.55 202.77,250.64 318.65 199.21,258.51 327.95 203.93,250.87 319.24 198.80,258.23 329.98 207.13,244.67 311.86 193.81,251.75 321.65 200.28,234.06 296.93 184.59,240.38 304.87 191.94,214.49 274.16 164.74,217.52 276.80 165.27,186.79 243.30 134.42,182.95 240.87 129.95,165.09 222.46 112.17,153.76 214.81 100.96,136.81 191.79 85.98,113.16 168.94 66.90
2018,11.33 17.14 6.42,14.96 22.53 8.64,76.81 116.65 47.96,108.92 160.57 72.19,187.44 249.83 140.91,205.39 277.98 154.03,242.93 314.13 189.93,248.28 318.94 194.25,250.01 318.19 196.38,255.31 321.45 201.08,254.58 323.22 200.99,259.48 324.70 204.91,258.05 328.09 204.54,262.05 333.20 206.50,258.71 329.16 204.87,262.02 334.19 209.29,252.43 320.21 199.90,255.63 327.36 203.42,241.83 305.98 190.76,244.35 309.48 195.14,222.27 284.01 171.22,221.48 281.96 168.60,195.03 252.85 140.35,187.31 245.88 133.42,173.62 233.84 118.39,158.37 220.19 103.80,145.29 203.50 91.51,117.53 175.12 69.51
2019,11.46 17.31 6.49,15.05 22.63 8.67,77.27 117.58 48.16,108.60 160.91 71.58,190.22 253.02 143.04,206.19 278.86 155.21,247.48 320.36 193.03,249.54 321.25 195.21,254.96 324.83 199.73,256.62 322.40 202.53,259.71 328.63 204.61,260.96 327.00 205.70,263.37 334.52 208.77,263.88 335.42 208.68,264.30 335.12 209.63,264.14 336.38 210.54,258.32 326.16 204.44,257.88 330.94 205.01,247.75 311.56 195.65,246.52 311.96 196.97,228.41 291.33 176.44,223.53 284.21 170.69,201.81 261.15 145.64,189.83 248.65 135.20,180.62 242.70 123.66,161.63 224.33 105.87,152.30 212.40 96.69,120.85 179.94 71.62
2020,11.54 17.48 6.56,14.84 22.11 8.41,76.66 116.38 48.01,106.63 157.15 69.63,191.26 253.44 142.88,206.00 277.66 155.43,250.06 323.50 196.05,248.70 319.65 195.00,258.04 330.56 200.86,255.70 320.96 202.32,263.17 334.19 208.04,260.26 326.67 204.97,267.14 341.37 211.30,263.60 335.80 208.81,268.38 340.44 212.19,264.34 336.02 210.66,262.60 332.31 207.48,258.27 332.75 205.39,251.81 316.37 200.05,246.61 312.70 196.72,232.93 297.80 180.18,223.51 284.97 170.15,206.92 270.04 149.33,190.43 249.86 135.16,185.83 248.54 126.40,163.41 226.99 107.93,157.72 218.72 101.40,123.36 182.77 73.45
2021,11.98 18.12 6.79,15.11 22.61 8.53,79.65 120.86 49.94,108.05 157.89 71.16,199.23 263.96 149.46,209.45 282.31 156.98,260.21 335.95 202.95,253.89 326.95 199.08,268.68 343.37 210.56,261.00 329.47 206.45,274.16 348.32 216.86,265.42 330.74 208.91,278.29 355.36 220.71,268.63 341.09 212.25,279.66 353.30 221.92,269.33 343.36 214.12,274.18 346.51 217.78,263.55 338.21 208.63,262.84 330.93 207.92,251.68 318.11 200.11,243.82 310.76 189.22,228.96 290.11 175.03,217.57 283.03 157.53,196.04 258.05 140.19,196.33 263.92 133.61,169.06 234.08 110.05,166.76 230.33 107.66,127.93 189.63 76.21
