Prevalence-Rate-Global-Type-1,0-5-Male,0-5-Female,5-14-Male,5-14-Female,15-39-Male,15-39-Female,40-44-Male,40-44-Female,45-49-Male,45-49-Male,50-54-Male,50-54-Female,55-59-Male,55-59-Female,60-64-Male,60-64-Female,65-69-Male,65-69-Female,70-74-Male,70-74-Female,75-84-Male,75-84-Female,85-89-Male,85-89-Female,90-94-Male,90-94-Female,95+-Male,95+-Female
Year,Male,Female,Male ,Female,Male,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
2009,24.16 29.88 19.61,20.43 26.39 15.57,99.01 129.59 75.21,114.67 150.07 86.81,215.85 260.36 176.91,231.20 281.80 188.75,278.63 330.85 237.07,282.04 334.24 238.57,305.40 358.92 259.40,307.59 361.18 260.43,320.43 376.86 273.61,321.76 377.72 273.33,326.92 383.69 279.87,325.67 384.43 277.50,342.53 402.65 294.59,342.38 406.03 294.61,346.77 405.79 300.94,349.11 409.87 301.07,346.30 404.12 298.73,351.97 408.96 302.45,367.48 427.65 316.60,379.47 439.72 327.13,433.10 509.07 369.46,450.78 524.35 387.34,445.90 535.71 381.88,479.78 567.55 414.39,437.00 524.61 374.11,501.95 591.44 432.81
2010,24.39 30.20 19.80,20.58 26.57 15.66,99.73 130.69 75.83,115.05 150.37 87.08,217.91 262.90 178.42,232.89 283.86 190.12,280.57 333.31 238.62,283.88 336.60 239.96,303.66 357.07 257.83,305.18 358.61 258.28,326.19 383.46 278.35,327.27 384.20 277.84,326.78 383.80 279.62,325.43 383.97 277.13,346.57 407.56 298.27,345.41 409.83 297.06,350.84 410.36 304.54,352.11 413.18 303.83,350.83 409.59 302.50,355.62 413.57 305.59,369.61 430.28 318.40,380.01 440.71 327.72,437.44 514.20 373.26,453.62 528.20 389.74,451.02 541.32 386.83,481.17 568.22 415.55,443.61 533.16 379.59,504.72 596.18 434.94
2011,24.64 30.52 19.97,20.71 26.82 15.69,100.39 131.52 76.19,115.16 150.83 86.87,219.73 265.38 179.76,234.40 286.08 191.15,282.59 335.72 239.76,286.39 340.21 242.04,301.83 355.27 255.91,303.19 356.93 255.97,330.18 388.70 281.33,331.46 389.37 280.92,328.97 386.94 281.40,328.22 387.65 279.28,347.89 409.84 298.78,346.62 411.88 297.70,352.57 412.67 305.47,353.65 415.72 304.86,355.58 414.67 306.12,360.44 419.72 309.52,371.85 433.20 319.98,381.69 443.14 328.80,438.35 516.21 373.32,455.00 530.92 390.26,459.42 551.11 394.26,488.83 577.31 422.59,447.42 538.86 382.26,507.17 600.61 436.21
2012,24.88 30.85 20.11,20.76 26.97 15.70,101.06 132.45 76.48,115.04 150.80 86.38,221.44 267.78 181.08,235.95 288.40 192.17,284.47 338.31 240.77,289.19 344.26 244.03,300.66 354.00 254.41,302.63 356.73 254.95,331.60 391.01 281.81,333.64 392.37 282.34,332.06 391.17 283.80,332.84 393.58 282.74,346.99 409.50 297.43,346.97 412.92 297.73,357.62 419.11 309.43,359.38 423.25 309.56,359.08 418.76 308.73,365.00 425.42 313.00,374.19 436.31 321.59,384.86 447.43 330.92,439.19 517.99 373.50,457.94 535.33 392.28,468.16 561.29 401.89,498.70 589.34 431.02,447.88 539.77 381.62,509.99 605.06 437.35
2013,25.11 31.19 20.31,20.75 27.03 15.64,101.70 133.48 76.81,114.75 150.59 85.83,223.12 270.23 182.37,237.48 290.70 193.19,286.29 340.96 241.81,291.84 348.47 245.98,300.54 354.01 253.97,303.46 358.24 255.06,330.35 390.11 279.95,333.19 392.38 281.41,336.78 397.30 287.57,339.29 401.48 287.79,345.42 408.47 295.49,346.89 413.52 297.29,361.78 424.65 312.72,365.00 430.75 314.12,362.99 423.83 311.76,370.43 431.97 317.33,377.39 440.52 323.91,389.15 453.07 333.96,441.06 520.88 374.43,461.78 540.53 395.04,476.45 571.17 408.84,509.36 602.06 440.34,449.21 541.29 382.25,514.24 610.46 440.03
2014,25.32 31.52 20.50,20.71 27.10 15.57,102.30 134.46 77.11,114.36 150.33 85.22,224.86 272.80 183.71,238.92 292.86 194.15,288.44 343.89 243.41,294.28 352.32 247.78,301.31 355.09 254.28,304.99 360.47 255.90,328.11 387.76 277.32,331.37 390.79 279.32,342.33 404.38 292.08,346.22 410.05 293.32,346.02 409.97 295.55,348.68 416.24 298.27,362.12 425.81 312.57,366.99 433.96 315.51,366.96 428.98 315.13,374.84 437.18 320.52,381.34 445.62 326.93,393.96 459.23 337.44,443.83 524.73 376.08,465.62 545.57 397.61,486.09 582.87 416.68,519.73 614.66 449.11,455.98 549.74 387.76,521.83 619.73 446.33
2015,25.47 31.73 20.63,20.64 27.12 15.47,102.85 135.38 77.37,113.98 150.03 84.64,226.72 275.58 185.00,240.20 294.78 194.98,291.28 347.56 245.67,296.59 355.89 249.27,302.87 357.10 255.26,306.65 362.76 256.89,325.69 385.24 275.01,328.58 388.20 276.52,347.98 411.61 296.58,352.25 417.65 298.16,345.25 409.78 294.53,348.56 416.58 297.46,366.05 431.23 315.39,371.06 439.35 318.91,370.57 433.64 318.10,378.24 441.09 323.10,385.48 450.97 330.11,397.63 463.92 339.99,447.76 530.01 378.71,468.39 549.27 399.35,494.58 593.42 423.50,526.90 624.46 454.41,467.60 563.62 397.51,529.72 629.64 453.08
2016,25.55 31.89 20.64,20.51 26.97 15.29,103.45 136.26 77.67,113.58 149.66 84.08,229.37 279.35 186.89,241.32 296.14 195.74,296.28 353.63 250.10,299.42 359.78 251.49,306.96 362.27 257.85,309.04 366.05 258.27,325.93 385.96 274.90,325.99 385.81 273.38,354.91 419.60 301.81,356.61 423.16 301.70,350.39 416.55 298.51,351.59 420.70 299.60,370.40 436.73 318.43,372.48 441.97 319.42,375.44 439.95 321.65,379.74 443.32 323.87,393.83 460.90 336.64,402.14 469.30 342.71,456.94 541.37 385.99,471.96 554.06 401.86,504.37 604.81 431.07,531.04 631.61 457.04,485.79 584.72 413.84,541.33 643.41 462.45
2017,25.67 32.12 20.64,20.38 26.83 15.08,104.07 137.21 77.95,113.11 149.37 83.52,232.88 284.29 189.43,242.36 297.49 196.44,303.92 363.11 256.51,303.40 365.13 254.33,313.49 370.44 262.62,311.92 370.04 260.18,329.74 390.89 277.56,324.90 385.37 271.39,362.45 428.91 307.13,358.61 426.51 302.90,360.15 428.29 306.32,356.50 427.24 303.01,376.19 443.61 322.63,372.57 443.13 318.66,388.76 455.72 332.88,386.32 451.98 328.92,405.97 475.52 346.22,407.31 475.54 345.76,469.77 557.39 396.26,475.10 559.03 403.40,519.83 624.09 443.97,536.19 640.17 460.15,508.27 611.12 433.49,552.90 658.96 471.51
2018,25.90 32.50 20.68,20.35 26.87 14.96,104.64 138.05 78.19,112.67 149.19 83.00,236.57 289.28 192.20,243.40 298.81 197.37,312.24 373.26 263.24,307.68 370.77 257.49,320.38 379.34 267.75,314.57 373.88 261.91,335.02 397.51 281.35,325.23 386.59 271.07,367.42 435.33 310.15,357.52 426.06 301.32,372.31 442.85 315.76,363.19 435.87 307.47,381.61 450.25 326.41,371.97 443.58 317.09,401.86 471.30 343.46,392.46 460.31 333.35,419.39 491.71 356.85,413.10 482.40 349.60,482.47 573.29 406.69,477.26 563.17 404.03,535.70 644.15 456.34,540.16 647.41 462.12,528.61 635.77 450.37,562.41 671.91 478.08
2019,26.22 32.97 20.80,20.45 27.06 14.97,105.14 138.86 78.28,112.44 149.43 82.80,239.69 293.42 194.51,244.48 300.04 197.89,319.14 381.59 268.25,311.32 375.47 259.66,326.01 387.16 271.92,316.73 376.97 263.64,339.25 402.91 284.49,326.11 388.21 271.17,368.79 437.29 310.42,354.66 423.21 298.05,382.93 455.42 323.88,370.00 444.50 312.18,386.64 456.55 329.75,372.94 445.65 316.85,407.33 478.44 347.37,394.00 463.31 333.88,429.31 504.22 364.51,417.43 487.54 352.51,490.76 583.63 412.47,476.77 563.91 401.89,545.15 656.92 463.23,541.01 650.67 461.59,543.64 654.47 461.69,568.99 681.35 482.44
2020,26.58 33.19 21.27,20.70 27.32 15.19,105.59 138.77 78.95,112.42 148.90 82.42,242.21 296.54 196.51,246.29 303.24 199.27,324.70 388.60 272.63,314.94 380.42 262.51,331.56 394.10 276.31,319.96 382.05 265.50,343.58 408.52 287.92,328.75 392.50 272.84,368.82 439.02 309.81,352.32 420.88 295.88,392.32 466.92 332.21,377.05 452.24 317.41,388.90 460.20 331.55,373.31 445.28 317.62,414.97 488.07 352.85,399.17 468.30 336.63,435.79 512.57 370.67,421.18 491.85 355.51,495.31 589.18 416.51,476.76 566.12 400.81,548.91 660.33 465.87,540.60 650.34 459.90,549.65 662.76 466.39,569.71 683.73 483.21
2021,26.95 33.83 21.06,20.64 27.30 14.70,106.19 141.34 77.76,111.49 149.25 80.72,246.47 302.54 199.57,247.32 305.68 198.88,332.23 399.52 277.76,318.57 387.25 264.83,340.16 405.29 281.98,323.91 387.64 268.31,351.02 416.67 293.57,331.99 397.34 273.90,371.98 445.71 310.85,350.16 420.16 292.23,402.83 481.87 339.59,382.70 461.82 322.01,397.72 474.09 337.11,377.95 454.02 319.46,423.87 501.15 360.50,403.85 478.12 340.60,448.51 529.17 381.34,429.31 502.32 361.46,512.39 612.08 428.79,486.85 580.08 410.10,569.48 689.11 482.11,553.64 664.30 470.73,569.60 689.03 483.98,584.23 699.55 496.13
